Linux 3.19.0-39-lowlatency (flashstack-3) 	10/03/2016 	_x86_64_	(56 CPU)

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM StkSize  StkRef   cswch/s nvcswch/s  Command
 1475541746     0      1326   40.00    0.00    0.00   40.00     8      0.00      0.00 2121384   3672   0.00     136      32   1372.73    736.36  ./build/forward -l 8 -n 3 --proc-type=secondary -- -r 1 -- -d 2 
 1475541746     0      1331   14.55    3.64    0.00   18.18     8      1.82      0.00 2121384   3672   0.00     136      32  27446.36    127.27  ./build/forward -l 8 -n 3 --proc-type=secondary -- -r 3 -n 9 -- -d 4 
 1475541746     0      1337   37.27    3.64    0.00   40.91     8      0.91      0.00 2121380   3676   0.00     136      32      0.00  27656.36  ./build/basic_nf -l 8 -n 3 --proc-type=secondary -- -r 2 -n 7 -- -d 3 -c 3 

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM StkSize  StkRef   cswch/s nvcswch/s  Command
 1475541747     0      1326   41.00    0.00    0.00   41.00     8      0.00      0.00 2121384   3672   0.00     136      32   1348.00    753.00  ./build/forward -l 8 -n 3 --proc-type=secondary -- -r 1 -- -d 2 
 1475541747     0      1331   14.00    4.00    0.00   18.00     8     10.00      0.00 2121384   3672   0.00     136      32  27451.00    154.00  ./build/forward -l 8 -n 3 --proc-type=secondary -- -r 3 -n 9 -- -d 4 
 1475541747     0      1337   37.00    4.00    0.00   41.00     8      1.00      0.00 2121380   3676   0.00     136      32      0.00  27678.00  ./build/basic_nf -l 8 -n 3 --proc-type=secondary -- -r 2 -n 7 -- -d 3 -c 3 

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM StkSize  StkRef   cswch/s nvcswch/s  Command
 1475541748     0      1326   41.00    0.00    0.00   41.00     8      0.00      0.00 2121384   3672   0.00     136      32   1347.00    770.00  ./build/forward -l 8 -n 3 --proc-type=secondary -- -r 1 -- -d 2 
 1475541748     0      1331   14.00    4.00    0.00   18.00     8      0.00      0.00 2121384   3672   0.00     136      32  27464.00    118.00  ./build/forward -l 8 -n 3 --proc-type=secondary -- -r 3 -n 9 -- -d 4 
 1475541748     0      1337   39.00    3.00    0.00   42.00     8      0.00      0.00 2121380   3676   0.00     136      32      0.00  27642.00  ./build/basic_nf -l 8 -n 3 --proc-type=secondary -- -r 2 -n 7 -- -d 3 -c 3 

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM StkSize  StkRef   cswch/s nvcswch/s  Command
 1475541749     0      1326   40.00    0.00    0.00   40.00     8      0.00      0.00 2121384   3672   0.00     136      32   1332.00    773.00  ./build/forward -l 8 -n 3 --proc-type=secondary -- -r 1 -- -d 2 
 1475541749     0      1331   12.00    5.00    0.00   17.00     8      2.00      0.00 2121384   3672   0.00     136      32  27507.00    146.00  ./build/forward -l 8 -n 3 --proc-type=secondary -- -r 3 -n 9 -- -d 4 
 1475541749     0      1337   37.00    4.00    0.00   41.00     8      0.00      0.00 2121380   3676   0.00     136      32      0.00  27706.00  ./build/basic_nf -l 8 -n 3 --proc-type=secondary -- -r 2 -n 7 -- -d 3 -c 3 

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM StkSize  StkRef   cswch/s nvcswch/s  Command
 1475541750     0      1326   41.00    0.00    0.00   41.00     8      0.00      0.00 2121384   3672   0.00     136      32   1333.00    750.00  ./build/forward -l 8 -n 3 --proc-type=secondary -- -r 1 -- -d 2 
 1475541750     0      1331   15.00    4.00    0.00   19.00     8      6.00      0.00 2121384   3672   0.00     136      32  27485.00    150.00  ./build/forward -l 8 -n 3 --proc-type=secondary -- -r 3 -n 9 -- -d 4 
 1475541750     0      1337   37.00    4.00    0.00   41.00     8      2.00      0.00 2121380   3676   0.00     136      32      0.00  27662.00  ./build/basic_nf -l 8 -n 3 --proc-type=secondary -- -r 2 -n 7 -- -d 3 -c 3 

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM StkSize  StkRef   cswch/s nvcswch/s  Command
 1475541751     0      1326   41.00    0.00    0.00   41.00     8      8.00      0.00 2121384   3672   0.00     136      32   1361.00    745.00  ./build/forward -l 8 -n 3 --proc-type=secondary -- -r 1 -- -d 2 
 1475541751     0      1331   14.00    4.00    0.00   18.00     8      4.00      0.00 2121384   3672   0.00     136      32  27466.00    134.00  ./build/forward -l 8 -n 3 --proc-type=secondary -- -r 3 -n 9 -- -d 4 
 1475541751     0      1337   35.00    5.00    0.00   40.00     8      0.00      0.00 2121380   3676   0.00     136      32      0.00  27655.00  ./build/basic_nf -l 8 -n 3 --proc-type=secondary -- -r 2 -n 7 -- -d 3 -c 3 

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM StkSize  StkRef   cswch/s nvcswch/s  Command
 1475541752     0      1326   40.00    0.00    0.00   40.00     8      0.00      0.00 2121384   3672   0.00     136      32   1319.00    786.00  ./build/forward -l 8 -n 3 --proc-type=secondary -- -r 1 -- -d 2 
 1475541752     0      1331   14.00    4.00    0.00   18.00     8      0.00      0.00 2121384   3672   0.00     136      32  27518.00    117.00  ./build/forward -l 8 -n 3 --proc-type=secondary -- -r 3 -n 9 -- -d 4 
 1475541752     0      1337   37.00    5.00    0.00   42.00     8      6.00      0.00 2121380   3676   0.00     136      32      0.00  27716.00  ./build/basic_nf -l 8 -n 3 --proc-type=secondary -- -r 2 -n 7 -- -d 3 -c 3 

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM StkSize  StkRef   cswch/s nvcswch/s  Command
 1475541753     0      1326   41.00    0.00    0.00   41.00     8      0.00      0.00 2121384   3672   0.00     136      32   1309.00    789.00  ./build/forward -l 8 -n 3 --proc-type=secondary -- -r 1 -- -d 2 
 1475541753     0      1331   13.00    4.00    0.00   17.00     8      8.00      0.00 2121384   3672   0.00     136      32  27492.00    158.00  ./build/forward -l 8 -n 3 --proc-type=secondary -- -r 3 -n 9 -- -d 4 
 1475541753     0      1337   38.00    3.00    0.00   41.00     8      0.00      0.00 2121380   3676   0.00     136      32      0.00  27646.00  ./build/basic_nf -l 8 -n 3 --proc-type=secondary -- -r 2 -n 7 -- -d 3 -c 3 

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM StkSize  StkRef   cswch/s nvcswch/s  Command
 1475541754     0      1326   40.00    1.00    0.00   41.00     8      0.00      0.00 2121384   3672   0.00     136      32   1335.00    729.00  ./build/forward -l 8 -n 3 --proc-type=secondary -- -r 1 -- -d 2 
 1475541754     0      1331   15.00    3.00    0.00   18.00     8      0.00      0.00 2121384   3672   0.00     136      32  27525.00    116.00  ./build/forward -l 8 -n 3 --proc-type=secondary -- -r 3 -n 9 -- -d 4 
 1475541754     0      1337   37.00    5.00    0.00   42.00     8      0.00      0.00 2121380   3676   0.00     136      32      0.00  27716.00  ./build/basic_nf -l 8 -n 3 --proc-type=secondary -- -r 2 -n 7 -- -d 3 -c 3 

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM StkSize  StkRef   cswch/s nvcswch/s  Command
 1475541755     0      1326   41.00    0.00    0.00   41.00     8      0.00      0.00 2121384   3672   0.00     136      32   1298.00    792.00  ./build/forward -l 8 -n 3 --proc-type=secondary -- -r 1 -- -d 2 
 1475541755     0      1331   14.00    5.00    0.00   19.00     8      4.00      0.00 2121384   3672   0.00     136      32  27570.00    144.00  ./build/forward -l 8 -n 3 --proc-type=secondary -- -r 3 -n 9 -- -d 4 
 1475541755     0      1337   37.00    4.00    0.00   41.00     8      5.00      0.00 2121380   3676   0.00     136      32      0.00  27738.00  ./build/basic_nf -l 8 -n 3 --proc-type=secondary -- -r 2 -n 7 -- -d 3 -c 3 

