Linux 3.19.0-39-lowlatency (flashstack-3) 	09/08/2016 	_x86_64_	(56 CPU)

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM StkSize  StkRef   cswch/s nvcswch/s  Command
 1473378922     0     13032   37.27   10.00    0.00   47.27     8      8.18      0.00 3169952   3668   0.00     136      32  38576.36   4066.36  ./build/forward -l 8 -n 3 --proc-type=secondary -- -r 1 -- -d 2 
 1473378922     0     13043   40.00    9.09    0.00   49.09     8      4.55      0.00 3169952   3668   0.00     136      32  42023.64    682.73  ./build/bridge -l 8 -n 3 --proc-type=secondary -- -r 2 -n 11 

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM StkSize  StkRef   cswch/s nvcswch/s  Command
 1473378923     0     13032   37.00   10.00    0.00   47.00     8      0.00      0.00 3169952   3668   0.00     136      32  40268.00   2722.00  ./build/forward -l 8 -n 3 --proc-type=secondary -- -r 1 -- -d 2 
 1473378923     0     13043   39.00   10.00    0.00   49.00     8      0.00      0.00 3169952   3668   0.00     136      32  42351.00    689.00  ./build/bridge -l 8 -n 3 --proc-type=secondary -- -r 2 -n 11 

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM StkSize  StkRef   cswch/s nvcswch/s  Command
 1473378924     0     13032   38.00   10.00    0.00   48.00     8      0.00      0.00 3169952   3668   0.00     136      32  40528.00   2466.00  ./build/forward -l 8 -n 3 --proc-type=secondary -- -r 1 -- -d 2 
 1473378924     0     13043   39.00   10.00    0.00   49.00     8      9.00      0.00 3169952   3668   0.00     136      32  42381.00    666.00  ./build/bridge -l 8 -n 3 --proc-type=secondary -- -r 2 -n 11 

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM StkSize  StkRef   cswch/s nvcswch/s  Command
 1473378925     0     13032   38.00   10.00    0.00   48.00     8      5.00      0.00 3169952   3668   0.00     136      32  40348.00   2669.00  ./build/forward -l 8 -n 3 --proc-type=secondary -- -r 1 -- -d 2 
 1473378925     0     13043   39.00   10.00    0.00   49.00     8      4.00      0.00 3169952   3668   0.00     136      32  42358.00    649.00  ./build/bridge -l 8 -n 3 --proc-type=secondary -- -r 2 -n 11 

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM StkSize  StkRef   cswch/s nvcswch/s  Command
 1473378926     0     13032   36.00   12.00    0.00   48.00     8      0.00      0.00 3169952   3668   0.00     136      32  40684.00   2342.00  ./build/forward -l 8 -n 3 --proc-type=secondary -- -r 1 -- -d 2 
 1473378926     0     13043   38.00   11.00    0.00   49.00     8      1.00      0.00 3169952   3668   0.00     136      32  42374.00    680.00  ./build/bridge -l 8 -n 3 --proc-type=secondary -- -r 2 -n 11 

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM StkSize  StkRef   cswch/s nvcswch/s  Command
 1473378927     0     13032   39.00    8.00    0.00   47.00     8      9.00      0.00 3169952   3668   0.00     136      32  40069.00   2843.00  ./build/forward -l 8 -n 3 --proc-type=secondary -- -r 1 -- -d 2 
 1473378927     0     13043   38.00   11.00    0.00   49.00     8      0.00      0.00 3169952   3668   0.00     136      32  42300.00    685.00  ./build/bridge -l 8 -n 3 --proc-type=secondary -- -r 2 -n 11 

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM StkSize  StkRef   cswch/s nvcswch/s  Command
 1473378928     0     13032   38.00    9.00    0.00   47.00     8      0.00      0.00 3169952   3668   0.00     136      32  39780.00   3313.00  ./build/forward -l 8 -n 3 --proc-type=secondary -- -r 1 -- -d 2 
 1473378928     0     13043   40.00    9.00    0.00   49.00     8      9.00      0.00 3169952   3668   0.00     136      32  42505.00    689.00  ./build/bridge -l 8 -n 3 --proc-type=secondary -- -r 2 -n 11 

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM StkSize  StkRef   cswch/s nvcswch/s  Command
 1473378929     0     13032   36.00   12.00    0.00   48.00     8      0.00      0.00 3169952   3668   0.00     136      32  39546.00   3696.00  ./build/forward -l 8 -n 3 --proc-type=secondary -- -r 1 -- -d 2 
 1473378929     0     13043   39.00   11.00    0.00   50.00     8      0.00      0.00 3169952   3668   0.00     136      32  42587.00    669.00  ./build/bridge -l 8 -n 3 --proc-type=secondary -- -r 2 -n 11 

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM StkSize  StkRef   cswch/s nvcswch/s  Command
 1473378930     0     13032   37.00   12.00    0.00   49.00     8      5.00      0.00 3169952   3668   0.00     136      32  39681.00   3462.00  ./build/forward -l 8 -n 3 --proc-type=secondary -- -r 1 -- -d 2 
 1473378930     0     13043   38.00   10.00    0.00   48.00     8      5.00      0.00 3169952   3668   0.00     136      32  42505.00    679.00  ./build/bridge -l 8 -n 3 --proc-type=secondary -- -r 2 -n 11 

